Date,BullPrev,BearPrev,BullVar,BearVar,BullWords,BearWords,10BullVar,10BearVar
11/10/2018,31,38,-26.19047619,52,46,23,-261.9047619,520
11/9/2018,42,25,-23.63636364,13.63636364,31,38,-236.3636364,136.3636364
11/8/2018,55,22,22.22222222,-4.347826087,42,25,222.2222222,-43.47826087
11/7/2018,45,23,-21.05263158,21.05263158,55,22,-210.5263158,210.5263158
11/6/2018,57,19,42.5,18.75,45,23,425,187.5
11/5/2018,40,16,66.66666667,-33.33333333,57,19,666.6666667,-333.3333333
11/4/2018,24,24,-25,-17.24137931,40,16,-250,-172.4137931
11/3/2018,32,29,-23.80952381,11.53846154,24,24,-238.0952381,115.3846154
11/2/2018,42,26,-2.325581395,-13.33333333,32,29,-23.25581395,-133.3333333
11/1/2018,43,30,10.25641026,0.1,42,26,102.5641026,1
10/31/2018,39,30,2.631578947,-25,43,30,26.31578947,-250
10/30/2018,38,40,-29.62962963,21.21212121,39,30,-296.2962963,212.1212121
10/29/2018,54,33,5.882352941,26.92307692,38,40,58.82352941,269.2307692
10/28/2018,51,26,15.90909091,13.04347826,54,33,159.0909091,130.4347826
10/27/2018,44,23,2.325581395,-23.33333333,51,26,23.25581395,-233.3333333
10/26/2018,43,30,-4.444444444,42.85714286,44,23,-44.44444444,428.5714286
10/25/2018,45,21,-10,-27.5862069,43,30,-100,-275.862069
10/24/2018,50,29,19.04761905,-6.451612903,45,21,190.4761905,-64.51612903
10/23/2018,42,31,-16,6.896551724,50,29,-160,68.96551724
10/22/2018,50,29,6.382978723,26.08695652,42,31,63.82978723,260.8695652
10/21/2018,47,23,9.302325581,-25.80645161,50,29,93.02325581,-258.0645161
10/20/2018,43,31,-14,14.81481481,47,23,-140,148.1481481
10/19/2018,50,27,21.95121951,22.72727273,43,31,219.5121951,227.2727273
10/18/2018,41,22,-8.888888889,-21.42857143,50,27,-88.88888889,-214.2857143
10/17/2018,45,28,9.756097561,-26.31578947,41,22,97.56097561,-263.1578947
10/16/2018,41,38,28.125,-2.564102564,45,28,281.25,-25.64102564
10/15/2018,32,39,-3.03030303,2.631578947,41,38,-30.3030303,26.31578947
10/14/2018,33,38,-26.66666667,-24,32,39,-266.6666667,-240
10/13/2018,45,50,21.62162162,13.63636364,33,38,216.2162162,136.3636364
10/12/2018,37,44,2.777777778,10,45,50,27.77777778,100
10/11/2018,36,40,-35.71428571,48.14814815,37,44,-357.1428571,481.4814815
10/10/2018,56,27,21.73913043,-18.18181818,36,40,217.3913043,-181.8181818
10/9/2018,46,33,12.19512195,0.1,56,27,121.9512195,1
10/8/2018,41,33,-19.60784314,50,46,33,-196.0784314,500
10/7/2018,51,22,6.25,-4.347826087,41,33,62.5,-43.47826087
10/6/2018,48,23,-17.24137931,-20.68965517,51,22,-172.4137931,-206.8965517
10/5/2018,58,29,48.71794872,-23.68421053,48,23,487.1794872,-236.8421053
10/4/2018,39,38,-9.302325581,15.15151515,58,29,-93.02325581,151.5151515
10/3/2018,43,33,-10.41666667,26.92307692,39,38,-104.1666667,269.2307692
10/2/2018,48,26,9.090909091,-3.703703704,43,33,90.90909091,-37.03703704
10/1/2018,44,27,37.5,-27.02702703,48,26,375,-270.2702703
9/30/2018,32,37,-31.91489362,23.33333333,44,27,-319.1489362,233.3333333
9/29/2018,47,30,-11.32075472,30.43478261,32,37,-113.2075472,304.3478261
9/28/2018,53,23,43.24324324,-37.83783784,47,30,432.4324324,-378.3783784
9/27/2018,37,37,-15.90909091,-2.631578947,53,23,-159.0909091,-26.31578947
9/26/2018,44,38,12.82051282,8.571428571,37,37,128.2051282,85.71428571
9/25/2018,39,35,-15.2173913,12.90322581,44,38,-152.173913,129.0322581
9/24/2018,46,31,12.19512195,3.333333333,39,35,121.9512195,33.33333333
9/23/2018,41,30,-14.58333333,15.38461538,46,31,-145.8333333,153.8461538
