Date,trfusd,trfusdvar,Value
12/12/2018,80955.34747,36.28290517,79895.36226
12/11/2018,59402.42275,-12.45822161,80955.34747
12/10/2018,67856.08408,-36.12959207,59402.42275
12/9/2018,106240.2547,-0.32151944,67856.08408
12/8/2018,106582.9396,4.989805739,106240.2547
12/7/2018,101517.4177,-18.64770486,106582.9396
12/6/2018,124787.4046,1.045927423,101517.4177
12/5/2018,123495.7289,27.47802281,124787.4046
12/4/2018,96876.09374,-24.37643548,123495.7289
12/3/2018,128103.0514,-23.50710022,96876.09374
12/2/2018,167470.5127,-12.85695591,128103.0514
12/1/2018,192178.8646,20.89973175,167470.5127
11/30/2018,158957.2299,13.33922224,192178.8646
11/29/2018,140249.0919,-6.546876059,158957.2299
11/28/2018,150074.2682,22.61478638,140249.0919
11/27/2018,122394.9188,-8.579905714,150074.2682
11/26/2018,133881.8558,-15.99727476,122394.9188
11/25/2018,159377.9909,-10.46865926,133881.8558
11/24/2018,178013.6314,-21.39223795,159377.9909
11/23/2018,226458.0834,-30.1235554,178013.6314
11/22/2018,324083.5803,52.87260155,226458.0834
11/21/2018,211995.856,109.6502125,324083.5803
11/20/2018,101118.8367,-15.58352758,211995.856
11/19/2018,119785.6696,-42.03514718,101118.8367
11/18/2018,206652.2448,-4.783178154,119785.6696
11/17/2018,217033.3359,36.08031989,206652.2448
11/16/2018,159489.143,38.4944945,217033.3359
11/15/2018,115159.1935,-6.174718483,159489.143
11/14/2018,122737.9142,36.09215443,115159.1935
11/13/2018,90187.35483,-15.34787967,122737.9142
11/12/2018,106538.802,-25.91099557,90187.35483
11/11/2018,143798.3987,5.575616617,106538.802
11/10/2018,136204.176,2.417935559,143798.3987
11/9/2018,132988.5974,7.554870092,136204.176
11/8/2018,123647.2112,2.783498207,132988.5974
11/7/2018,120298.6991,46.62580402,123647.2112
11/6/2018,82044.69869,-5.145996994,120298.6991
11/5/2018,86495.76832,-26.10504396,82044.69869
11/4/2018,117052.3307,5.707440937,86495.76832
11/3/2018,110732.3474,5.37838831,117052.3307
11/2/2018,105080.6993,-11.27737705,110732.3474
11/1/2018,118437.3228,-5.346274144,105080.6993
10/31/2018,125126.9527,17.50607366,118437.3228
10/30/2018,106485.5193,25.74898755,125126.9527
10/29/2018,84681.01521,-26.98523476,106485.5193
10/28/2018,115977.9326,2.070627987,84681.01521
10/27/2018,113625.1778,3.050386919,115977.9326
10/26/2018,110261.7673,2.584773337,113625.1778
10/25/2018,107483.5609,-0.956473666,110261.7673
10/24/2018,108521.5409,33.30223043,107483.5609
10/23/2018,81410.14633,-12.41800924,108521.5409
10/22/2018,92953.06675,-18.86096656,81410.14633
10/21/2018,114560.2342,-3.417584626,92953.06675
10/20/2018,118613.9669,-4.605398772,114560.2342
