Date,ntrbl,ntrblvar,Value
5/6/2017,2364.592814,-5.01623817,2071.263566
5/5/2017,2364.592814,-5.01623817,2111.529762
5/4/2017,2364.592814,-5.01623817,2235.977273
5/3/2017,2364.592814,-5.01623817,2108.613924
5/2/2017,2364.592814,-5.01623817,1965.24
5/1/2017,2364.592814,-5.01623817,1864.165563
4/30/2017,2364.592814,-5.01623817,1972.942197
4/29/2017,2364.592814,-5.01623817,2244.639706
4/28/2017,2364.592814,-5.01623817,2026.421769
4/27/2017,2364.592814,-5.01623817,2186.084967
4/26/2017,2364.592814,-5.01623817,2198.560811
4/25/2017,2364.592814,-5.01623817,1795.733871
4/24/2017,2364.592814,-5.01623817,1601.562092
4/23/2017,2364.592814,-5.01623817,1853.186207
4/22/2017,2364.592814,-5.01623817,1978.167665
4/21/2017,2364.592814,-5.01623817,1939.748201
4/20/2017,2364.592814,-5.01623817,2168.559441
4/19/2017,2364.592814,-5.01623817,2075.965753
4/18/2017,2364.592814,-5.01623817,1776.695652
4/17/2017,2364.592814,-5.01623817,1450.883562
4/16/2017,2364.592814,-5.01623817,1801.165563
4/15/2017,2364.592814,-5.01623817,2087.827338
4/14/2017,2364.592814,-5.01623817,1800.622047
4/13/2017,2364.592814,-5.01623817,1958.401408
4/12/2017,2364.592814,-5.01623817,1843.670659
4/11/2017,2364.592814,-5.01623817,1861.459459
4/10/2017,2364.592814,-5.01623817,1498.654088
4/9/2017,2364.592814,-5.01623817,1656.635037
4/8/2017,2364.592814,-5.01623817,1823.845679
4/7/2017,2364.592814,-5.01623817,1975.952381
4/6/2017,2364.592814,-5.01623817,1954.04321
4/5/2017,2364.592814,-5.01623817,2048.12
4/4/2017,2364.592814,-5.01623817,1637.164773
4/3/2017,2364.592814,-5.01623817,1545.588608
4/2/2017,2364.592814,-5.01623817,1938.416667
4/1/2017,2364.592814,-5.01623817,1921.503704
3/31/2017,2364.592814,-5.01623817,1760.902439
3/30/2017,2364.592814,-5.01623817,2057.471014
3/29/2017,2364.592814,-5.01623817,1896.780645
3/28/2017,2364.592814,-5.01623817,1759.780303
3/27/2017,2364.592814,-5.01623817,1336.837349
3/26/2017,2364.592814,-5.01623817,1826.879699
3/25/2017,2364.592814,-5.01623817,1645.005682
3/24/2017,2364.592814,-5.01623817,1945.074324
3/23/2017,2364.592814,-5.01623817,1992.006211
3/22/2017,2364.592814,-5.01623817,2028.556338
3/21/2017,2364.592814,-5.01623817,2037.007353
3/20/2017,2364.592814,-5.01623817,1633.96988
3/19/2017,2364.592814,-5.01623817,1678.535032
3/18/2017,2364.592814,-5.01623817,1897.376623
3/17/2017,2364.592814,-5.01623817,2137.477124
3/16/2017,2364.592814,-5.01623817,2059.394366
3/15/2017,2364.592814,-5.01623817,1989.711538
3/14/2017,2364.592814,-5.01623817,1883.303448
3/13/2017,2364.592814,-5.01623817,1426.516129
3/12/2017,2364.592814,-5.01623817,1883.765101
3/11/2017,2364.592814,-5.01623817,1977.448718
3/10/2017,2364.592814,-5.01623817,2051.567568
3/9/2017,2364.592814,-5.01623817,2092.309859
3/8/2017,2364.592814,-5.01623817,2143.150327
3/7/2017,2364.592814,-5.01623817,2026.274648
3/6/2017,2364.592814,-5.01623817,1909.789116
3/5/2017,2364.592814,-5.01623817,2006.529851
3/4/2017,2364.592814,-5.01623817,2233.84106
3/3/2017,2364.592814,-5.01623817,2098.267516
3/2/2017,2364.592814,-5.01623817,2193.631944
3/1/2017,2364.592814,-5.01623817,2126.888889
2/28/2017,2364.592814,-5.01623817,1976.076389
2/27/2017,2364.592814,-5.01623817,1489.904494
2/26/2017,2364.592814,-5.01623817,1955.215569
2/25/2017,2364.592814,-5.01623817,2112.957831
2/24/2017,2364.592814,-5.01623817,2172.753333
2/23/2017,2364.592814,-5.01623817,2043.33813
2/22/2017,2364.592814,-5.01623817,2022.391304
2/21/2017,2364.592814,-5.01623817,1910.324324
2/20/2017,2364.592814,-5.01623817,1878.514925
2/19/2017,2364.592814,-5.01623817,1895.717105
2/18/2017,2364.592814,-5.01623817,2117.662252
2/17/2017,2364.592814,-5.01623817,1877.164474
2/16/2017,2364.592814,-5.01623817,2120.76259
2/15/2017,2364.592814,-5.01623817,1864.402367
2/14/2017,2364.592814,-5.01623817,1768.650307
2/13/2017,2364.592814,-5.01623817,1689.234043
2/12/2017,2364.592814,-5.01623817,1889.827338
2/11/2017,2364.592814,-5.01623817,2057.135135
2/10/2017,2364.592814,-5.01623817,2050.556213
2/9/2017,2364.592814,-5.01623817,2111.753425
2/8/2017,2364.592814,-5.01623817,2154.092715
2/7/2017,2364.592814,-5.01623817,1840.216
2/6/2017,2364.592814,-5.01623817,1837.113208
2/5/2017,2364.592814,-5.01623817,1974.662069
2/4/2017,2364.592814,-5.01623817,2171.563758
2/3/2017,2364.592814,-5.01623817,1653.242038
2/2/2017,2364.592814,-5.01623817,1825.833333
2/1/2017,2364.592814,-5.01623817,2121.951724
1/31/2017,2364.592814,-5.01623817,1718.006849
1/30/2017,2364.592814,-5.01623817,1446.868263
1/29/2017,2364.592814,-5.01623817,1621.019737
1/28/2017,2364.592814,-5.01623817,1549.011765
1/27/2017,2364.592814,-5.01623817,2024.866242
1/26/2017,2364.592814,-5.01623817,2039.74
1/25/2017,2364.592814,-5.01623817,1866.959732
1/24/2017,2364.592814,-5.01623817,1702.820144
1/23/2017,2364.592814,-5.01623817,1361.413793
1/22/2017,2364.592814,-5.01623817,1456.143646
1/21/2017,2364.592814,-5.01623817,1578.714286
1/20/2017,2364.592814,-5.01623817,1727.614943
1/19/2017,2364.592814,-5.01623817,1978.48
1/18/2017,2364.592814,-5.01623817,1852.51
1/17/2017,2364.592814,-5.01623817,1583.66
1/16/2017,2364.592814,-5.01623817,1413.16
1/15/2017,2364.592814,-5.01623817,1408.54
1/14/2017,2364.592814,-5.01623817,1822.17
1/13/2017,2364.592814,-5.01623817,1721.13
1/12/2017,2364.592814,-5.01623817,1980.77
1/11/2017,2364.592814,-5.01623817,2024.29
1/10/2017,2364.592814,-5.01623817,1984.9
1/9/2017,2364.592814,-5.01623817,1557.49
1/8/2017,2364.592814,-5.01623817,2048.33
