date,open,close,volume,pricevar,classes,,prevopen,prevclose,logprevvol,prevpricevar,prevclasses,classes,
2-May-18,9104.6,9235.92,"7,558,159,872",1.442347824,4,,9251.47,9119.01,22.76617563,-1.431772464,3,4,
3-May-18,9233.97,9743.86,"10,207,299,584",5.521893617,6,,9104.6,9235.92,22.74589359,1.442347824,4,6,
4-May-18,9695.5,9700.76,"8,217,829,888",0.054251973,4,,9233.97,9743.86,23.04636895,5.521893617,6,4,
5-May-18,9700.28,9858.15,"7,651,939,840",1.627478794,5,,9695.5,9700.76,22.82957201,0.054251973,4,5,
6-May-18,9845.31,9654.8,"7,222,280,192",-1.935033026,2,,9700.28,9858.15,22.75822503,1.627478794,5,2,
7-May-18,9645.67,9373.01,"7,394,019,840",-2.826760609,2,,9845.31,9654.8,22.70043656,-1.935033026,2,2,
8-May-18,9380.87,9234.82,"7,415,869,952",-1.556891845,2,,9645.67,9373.01,22.72393738,-2.826760609,2,2,
9-May-18,9223.73,9325.18,"7,226,890,240",1.099880417,4,,9380.87,9234.82,22.72688813,-1.556891845,2,4,
10-May-18,9325.96,9043.94,"6,906,699,776",-3.024031842,2,,9223.73,9325.18,22.70107466,1.099880417,4,2,
11-May-18,9052.96,8441.49,"8,488,520,192",-6.754365423,1,,9325.96,9043.94,22.65575776,-3.024031842,2,1,
12-May-18,8441.44,8504.89,"6,821,380,096",0.751649008,4,,9052.96,8441.49,22.86198052,-6.754365423,1,4,
13-May-18,8515.49,8723.94,"5,866,379,776",2.447892018,5,,8441.44,8504.89,22.64332765,0.751649008,4,5,
14-May-18,8713.1,8716.79,"7,364,149,760",0.042350025,4,,8515.49,8723.94,22.49250355,2.447892018,5,4,
15-May-18,8705.19,8510.38,"6,705,710,080",-2.237860403,2,,8713.1,8716.79,22.71988944,0.042350025,4,2,
16-May-18,8504.41,8368.83,"6,760,220,160",-1.594231699,2,,8705.19,8510.38,22.62622525,-2.237860403,2,2,
17-May-18,8370.05,8094.32,"5,862,530,048",-3.294245554,2,,8504.41,8368.83,22.63432129,-1.594231699,2,2,
18-May-18,8091.83,8250.97,"5,764,190,208",1.966675029,5,,8370.05,8094.32,22.4918471,-3.294245554,2,5,
19-May-18,8255.73,8247.18,"4,712,399,872",-0.103564433,3,,8091.83,8250.97,22.47493051,1.966675029,5,3,
20-May-18,8246.99,8513.25,"5,191,059,968",3.228571879,5,,8255.73,8247.18,22.27346314,-0.103564433,3,5,
21-May-18,8522.33,8418.99,"5,154,990,080",-1.212579189,3,,8246.99,8513.25,22.37020375,3.228571879,5,3,
22-May-18,8419.87,8041.78,"5,137,010,176",-4.490449377,1,,8522.33,8418.99,22.36323103,-1.212579189,3,1,
23-May-18,8037.08,7557.82,"6,491,120,128",-5.963110981,1,,8419.87,8041.78,22.35973707,-4.490449377,1,1,
24-May-18,7561.12,7587.34,"6,049,220,096",0.346774023,4,,8037.08,7557.82,22.59370095,-5.963110981,1,4,
25-May-18,7592.3,7480.14,"4,867,829,760",-1.477286198,3,,7561.12,7587.34,22.52319519,0.346774023,4,3,
26-May-18,7486.48,7355.88,"4,051,539,968",-1.744478046,2,,7592.3,7480.14,22.30591404,-1.477286198,3,2,
27-May-18,7362.08,7368.22,"4,056,519,936",0.083400343,4,,7486.48,7355.88,22.12236288,-1.744478046,2,4,
28-May-18,7371.31,7135.99,"5,040,600,064",-3.192376932,2,,7362.08,7368.22,22.12359128,0.083400343,4,2,
29-May-18,7129.46,7472.59,"5,662,660,096",4.812846976,6,,7371.31,7135.99,22.34079097,-3.192376932,2,6,
30-May-18,7469.73,7406.52,"4,922,540,032",-0.846215325,3,,7129.46,7472.59,22.4571596,4.812846976,6,3,
31-May-18,7406.15,7494.17,"5,127,130,112",1.188471743,4,,7469.73,7406.52,22.3170905,-0.846215325,3,4,
