us13wdate,us13wopen,us13whigh,us13wlow,us13wclose,us13wadjclose
11-Aug-11,0.015,0.025,0.01,0.01,0.01
12-Aug-11,0.005,0.005,0.005,0.005,0.005
15-Aug-11,0.005,0.015,0.005,0.005,0.005
16-Aug-11,0.02,0.02,0.015,0.02,0.02
17-Aug-11,0.015,0.015,0.005,0.005,0.005
18-Aug-11,0.01,0.01,0.005,0.01,0.01
19-Aug-11,0.01,0.01,0.01,0.01,0.01
22-Aug-11,0.01,0.01,0.005,0.005,0.005
23-Aug-11,0.005,0.01,0.005,0.005,0.005
24-Aug-11,0.005,0.01,0.005,0.01,0.01
25-Aug-11,0.01,0.01,0.01,0.01,0.01
26-Aug-11,0.01,0.01,0.01,0.01,0.01
29-Aug-11,0.01,0.01,0.005,0.005,0.005
30-Aug-11,0.01,0.015,0.005,0.015,0.015
31-Aug-11,0.01,0.02,0.005,0.015,0.015
1-Sep-11,0.01,0.01,0.005,0.01,0.01
2-Sep-11,0.01,0.02,0.01,0.015,0.015
6-Sep-11,0.02,0.025,0.01,0.015,0.015
7-Sep-11,0.025,0.025,0.015,0.015,0.015
8-Sep-11,0.015,0.015,0.01,0.01,0.01
9-Sep-11,0.01,0.01,0.005,0.005,0.005
12-Sep-11,0.005,0.005,0.005,0.005,0.005
13-Sep-11,0.005,0.005,0.005,0.005,0.005
14-Sep-11,0.005,0.005,0.005,0.005,0.005
15-Sep-11,0.01,0.01,0.005,0.005,0.005
16-Sep-11,0.005,0.005,0.005,0.005,0.005
19-Sep-11,0.005,0.005,0.005,0.005,0.005
20-Sep-11,0.005,0.01,0.005,0.005,0.005
21-Sep-11,0.005,0.01,0.005,0.005,0.005
22-Sep-11,0.005,0.005,0.005,0.005,0.005
23-Sep-11,0.005,0.005,0.005,0.005,0.005
26-Sep-11,0.005,0.005,0.005,0.005,0.005
27-Sep-11,0.01,0.01,0.005,0.01,0.01
28-Sep-11,0.005,0.01,0.005,0.01,0.01
29-Sep-11,0.005,0.01,0.005,0.01,0.01
30-Sep-11,0.01,0.025,0.01,0.01,0.01
3-Oct-11,0.015,0.02,0.005,0.02,0.02
4-Oct-11,0.005,0.005,0.005,0.005,0.005
5-Oct-11,0.005,0.005,0.005,0.005,0.005
6-Oct-11,0.005,0.005,0.005,0.005,0.005
7-Oct-11,0.005,0.005,0.005,0.005,0.005
10-Oct-11,0.005,0.005,0.005,0.005,0.005
11-Oct-11,0.01,0.01,0.005,0.005,0.005
12-Oct-11,0.01,0.02,0.01,0.015,0.015
13-Oct-11,0.01,0.02,0.01,0.015,0.015
14-Oct-11,0.015,0.02,0.01,0.015,0.015
17-Oct-11,0.015,0.02,0.015,0.02,0.02
18-Oct-11,0.025,0.03,0.025,0.025,0.025
19-Oct-11,0.025,0.025,0.02,0.02,0.02
20-Oct-11,0.015,0.02,0.015,0.015,0.015
21-Oct-11,0.01,0.015,0.01,0.015,0.015
24-Oct-11,0.015,0.015,0.005,0.005,0.005
25-Oct-11,0.01,0.015,0.01,0.015,0.015
26-Oct-11,0.01,0.015,0.01,0.015,0.015
27-Oct-11,0.015,0.015,0.01,0.01,0.01
28-Oct-11,0.01,0.01,0.005,0.01,0.01
31-Oct-11,0.005,0.005,0.005,0.005,0.005
1-Nov-11,0.005,0.005,0.005,0.005,0.005
