Date,Price,Open,High,Low,Vol,Change %
24-Feb-12,172.23,172.63,173.04,172,9.3,-0.46%
27-Feb-12,171.7,172.14,172.92,171.58,7.35,-0.31%
28-Feb-12,173.49,172.84,174,172.6,12.42,1.04%
29-Feb-12,164.29,173.19,173.59,164,44.15,-5.30%
1-Mar-12,166.61,166.1,167.72,165.75,19.21,1.41%
2-Mar-12,166.34,166.23,166.83,165.63,9.3,-0.16%
5-Mar-12,165.65,165.77,165.91,164.55,12.08,-0.41%
6-Mar-12,162.7,162.15,162.81,161.78,15.54,-1.78%
7-Mar-12,163.63,162.76,164.02,162.51,9.56,0.57%
8-Mar-12,165.28,164.74,165.55,164.05,8.86,1.01%
9-Mar-12,166.38,163.64,166.57,163.25,13.7,0.67%
12-Mar-12,165.07,165.33,165.58,164.4,6.53,-0.79%
13-Mar-12,162.3,163.94,165.41,161.43,20.05,-1.68%
14-Mar-12,159.57,159.61,160.58,158.8,28.83,-1.68%
15-Mar-12,161.08,159.73,161.98,159.28,12.69,0.95%
16-Mar-12,161.3,160.08,161.54,159.92,12.55,0.14%
19-Mar-12,161.59,160.85,162.3,160.72,9.92,0.18%
20-Mar-12,160.13,160.2,161.08,159.77,11.65,-0.90%
21-Mar-12,160.21,160.63,161.48,160.15,6.68,0.05%
22-Mar-12,159.57,158.2,159.71,158.13,11.11,-0.40%
23-Mar-12,161.53,160.88,161.88,160.52,10.69,1.23%
26-Mar-12,164.4,163.17,164.54,162.95,13.23,1.78%
27-Mar-12,163.24,164.52,164.89,163.13,10.92,-0.71%
28-Mar-12,161.51,162.71,162.98,160.66,11.02,-1.06%
29-Mar-12,161.28,161.14,161.46,159.81,11.03,-0.14%
30-Mar-12,162.12,161.67,162.33,161.22,7.53,0.52%
2-Apr-12,162.94,161.96,163.56,161.81,7.55,0.51%
3-Apr-12,159.89,163.23,163.23,159.17,16.83,-1.87%
4-Apr-12,157.21,157.7,158.03,156.58,15.98,-1.68%
5-Apr-12,158.31,157.87,158.68,157.78,8.97,0.70%
9-Apr-12,159.37,159.72,160.01,158.91,8.25,0.67%
10-Apr-12,161.1,159.66,161.58,158.47,14.29,1.09%
11-Apr-12,161.06,161.2,161.54,160.74,10.01,-0.02%
12-Apr-12,162.7,160.74,163.2,160.46,9.23,1.02%
13-Apr-12,160.85,162.45,162.46,160.17,10.04,-1.14%
16-Apr-12,160.46,160.51,161.18,159.53,6.67,-0.24%
17-Apr-12,160.27,160.54,160.96,158.75,7.59,-0.12%
18-Apr-12,159.31,159.49,160.12,159.07,7.47,-0.60%
19-Apr-12,159.43,160,160.64,159.02,9.92,0.08%
20-Apr-12,159.54,159.25,159.91,159.2,9.15,0.07%
23-Apr-12,159.07,158.2,159.18,157.88,8.88,-0.29%
24-Apr-12,159.3,159.63,160.18,159.29,5.2,0.14%
25-Apr-12,159.62,159.48,159.96,157.76,15.1,0.20%
26-Apr-12,161.03,160.46,161.38,160.1,10.92,0.88%
27-Apr-12,161.38,161.78,161.97,161.15,8.38,0.22%
30-Apr-12,161.88,160.49,161.88,160.31,8.01,0.31%
1-May-12,161.32,162.09,162.18,160.89,7.42,-0.35%
2-May-12,160.59,160.74,160.78,159.76,5.64,-0.45%
3-May-12,158.97,159.16,159.48,158.37,13.18,-1.01%
4-May-12,159.47,158.82,159.98,158.57,11.39,0.31%
7-May-12,159.08,159.31,159.34,158.45,4.93,-0.24%
8-May-12,156,156.61,156.73,154.92,17.86,-1.94%
9-May-12,154.47,154.1,154.98,153.6,13.87,-0.98%
10-May-12,154.77,155.16,155.57,154.64,7.46,0.19%
11-May-12,153.56,153.44,154.47,153.24,8.29,-0.78%
14-May-12,151.33,151.58,152.03,151,13.39,-1.45%
15-May-12,149.74,151.16,151.44,149.63,13.36,-1.05%
16-May-12,149.46,149.48,150.7,148.6,16.76,-0.19%
17-May-12,152.8,150.83,153.4,150.38,18.09,2.23%
18-May-12,154.55,154.46,155.13,153.97,13,1.15%
21-May-12,154.65,154.11,154.95,153.86,7.54,0.06%
22-May-12,152.08,153.59,154.42,151.55,11.31,-1.66%
23-May-12,151.62,151.5,151.84,148.84,18.85,-0.30%
24-May-12,151.41,152.71,152.91,150.62,9.7,-0.14%
25-May-12,152.68,151.89,152.85,151.63,6.21,0.84%
29-May-12,151.02,153.47,153.62,150.25,11.25,-1.09%
30-May-12,151.91,149.74,152.38,148.53,16.77,0.59%
31-May-12,151.62,152.03,152.71,150.62,10.12,-0.19%
1-Jun-12,157.5,155.41,158.31,154.87,27.41,3.88%
4-Jun-12,157.32,157.26,157.44,156.16,11.46,-0.11%
5-Jun-12,157.14,156.92,157.27,156.42,8.1,-0.11%
6-Jun-12,157.21,158.9,159.2,156.59,15.77,0.04%
7-Jun-12,154.5,157.82,157.84,153.19,18.93,-1.72%
8-Jun-12,154.73,153.02,154.83,153,11.08,0.15%
11-Jun-12,155.36,154.83,155.4,153.55,9.17,0.41%
12-Jun-12,156.46,155.49,157.04,155.45,13.25,0.71%
13-Jun-12,157.12,157.61,157.65,156.42,10.11,0.42%
14-Jun-12,157.75,157.64,157.94,156.24,11.51,0.40%
15-Jun-12,157.84,157.75,158.46,157.42,13.1,0.06%
18-Jun-12,157.93,157.46,158.21,156.54,6.73,0.06%
19-Jun-12,157.16,158,158.14,156.97,6.95,-0.49%
20-Jun-12,155.97,156,157.37,154.26,16.98,-0.76%
21-Jun-12,152.01,153.73,154.23,151.8,14.45,-2.54%
22-Jun-12,152.64,152.04,152.7,151.21,6.76,0.41%
25-Jun-12,153.76,152.58,154.16,152.25,6.19,0.73%
26-Jun-12,152.62,153.03,153.3,152.13,6.12,-0.74%
27-Jun-12,152.83,153.3,153.45,152.15,4.84,0.14%
28-Jun-12,151.05,151.9,152.16,150.15,8.76,-1.16%
29-Jun-12,155.19,155.13,155.95,154.52,10.38,2.74%
2-Jul-12,155.09,154.67,155.55,154.34,3.66,-0.06%
3-Jul-12,157.46,156.97,157.72,156.77,5.04,1.53%
5-Jul-12,155.68,155.44,156.4,154.45,5.36,-1.13%
6-Jul-12,153.71,154.23,154.49,152.95,7.05,-1.27%
9-Jul-12,154.04,153.61,154.58,153.43,4.47,0.21%
10-Jul-12,152.15,155.13,155.18,151.78,9.75,-1.23%
11-Jul-12,152.99,152.58,153.45,152.02,6.84,0.55%
12-Jul-12,152.59,151.26,153.07,150.85,11.4,-0.26%
13-Jul-12,154.14,153.45,154.94,153.44,5.08,1.02%
16-Jul-12,154.21,154.43,154.75,153.98,5.71,0.05%
17-Jul-12,153.47,154.01,154.5,152.45,13.03,-0.48%
18-Jul-12,153.05,152.67,153.6,152.4,6.81,-0.27%
19-Jul-12,153.38,153.73,154.32,152.93,6.07,0.22%
20-Jul-12,153.67,152.97,154,152.75,8.58,0.19%
23-Jul-12,153.03,152.5,153.33,152.29,5.26,-0.42%
24-Jul-12,153.52,153.63,153.8,152.2,6.54,0.32%
25-Jul-12,155.67,155.33,156.29,155.05,9.36,1.40%
26-Jul-12,156.77,156.7,157.26,156.05,7.34,0.71%
27-Jul-12,157.54,157.64,157.96,156.66,9.77,0.49%
30-Jul-12,157.43,156.84,157.66,154.81,7.21,-0.07%
31-Jul-12,156.49,157.6,157.72,156.26,10.92,-0.60%
1-Aug-12,155.14,155.18,155.79,154.41,12.72,-0.86%
2-Aug-12,154.13,154.66,155.14,153.61,11.54,-0.65%
3-Aug-12,155.55,154.65,155.89,154.42,10.67,0.92%
6-Aug-12,156.3,155.92,156.73,155.74,4.61,0.48%
7-Aug-12,156.28,156.37,156.63,156.01,5.93,-0.01%
8-Aug-12,156.48,156.49,156.86,156.26,3.62,0.13%
9-Aug-12,156.99,156.36,157,156.28,3.18,0.33%
10-Aug-12,157.18,156.9,157.82,156.65,4.61,0.12%
13-Aug-12,155.99,157.05,157.45,155.9,4.57,-0.76%
14-Aug-12,155.13,155.06,155.58,154.83,5.08,-0.55%
15-Aug-12,155.63,155.32,155.82,155.27,4.99,0.32%
16-Aug-12,156.56,155.85,157.09,155.5,8.84,0.60%
17-Aug-12,156.72,157.06,157.07,156.22,7.81,0.10%
20-Aug-12,157.26,156.52,157.4,156.47,7.85,0.34%
21-Aug-12,158.83,158.81,159.2,158.69,11.84,1.00%
22-Aug-12,160.54,159.19,160.63,158.51,13.61,1.08%
23-Aug-12,161.89,161.41,162.45,161.23,17.24,0.84%
24-Aug-12,161.97,161.87,162.35,161.33,8.5,0.05%
27-Aug-12,161.36,161.77,162.29,161.34,5.38,-0.38%
28-Aug-12,161.64,161.63,162.19,161.3,5.08,0.17%
29-Aug-12,160.59,161.6,161.68,160.18,9.29,-0.65%
30-Aug-12,160.52,161.26,161.31,160.01,5.81,-0.04%
31-Aug-12,164.22,161.14,164.22,159.56,18.03,2.31%
4-Sep-12,164.48,164.11,164.77,163.66,12.04,0.16%
5-Sep-12,164.31,164.12,164.39,163.81,8.4,-0.10%
6-Sep-12,164.89,165.16,165.78,164.8,12.97,0.35%
7-Sep-12,168.44,167.77,169,167.37,19.14,2.15%
10-Sep-12,167.29,167.84,168.14,167.22,7.77,-0.68%
11-Sep-12,167.9,168.22,168.53,167.79,7.52,0.36%
12-Sep-12,167.92,168.84,168.87,167.25,9.95,0.01%
13-Sep-12,171.31,167.87,171.91,166.3,28.34,2.02%
14-Sep-12,171.8,171.89,172.23,171.31,16.85,0.29%
17-Sep-12,170.4,171.77,171.96,170.06,11.28,-0.81%
18-Sep-12,171.72,170.81,171.95,170.67,12.49,0.77%
19-Sep-12,171.74,171.88,172.03,171.19,9.13,0.01%
20-Sep-12,171.47,171.03,171.69,170.23,8.71,-0.16%
21-Sep-12,171.96,172.93,173.19,171.54,13.36,0.29%
24-Sep-12,171.05,170.63,171.39,170.57,9.18,-0.53%
25-Sep-12,170.77,171.76,172.11,170.5,10.37,-0.16%
26-Sep-12,169.81,169.46,170.05,168.34,12.07,-0.56%
27-Sep-12,172.34,171.02,172.6,170.76,10.54,1.49%
28-Sep-12,171.89,172.03,172.48,171.34,9.68,-0.26%
1-Oct-12,172.29,172.83,173.62,171.77,10.68,0.23%
2-Oct-12,172.1,172.47,172.7,171.59,7.06,-0.11%
3-Oct-12,172.41,172.51,172.61,171.89,5.65,0.18%
4-Oct-12,173.61,173.2,174.07,172.92,10.38,0.70%
5-Oct-12,172.62,172.87,173.37,172.01,8.87,-0.57%
8-Oct-12,172.05,171.75,172.28,171.68,3.75,-0.33%
9-Oct-12,170.99,171.86,172.17,170.56,7.76,-0.62%
10-Oct-12,170.84,170.54,171.34,170.3,7.37,-0.09%
11-Oct-12,171.32,171.3,171.95,171.13,5.72,0.28%
12-Oct-12,170.06,171.15,171.41,169.81,8.27,-0.74%
15-Oct-12,168.35,169.01,169.1,167.53,10.71,-1.01%
16-Oct-12,169.42,168.87,169.45,168.67,6.21,0.64%
17-Oct-12,169.54,169.21,169.95,168.92,5.2,0.07%
18-Oct-12,168.79,168.8,169.31,168.59,6.61,-0.44%
19-Oct-12,166.97,168.42,168.45,166.23,13.86,-1.08%
22-Oct-12,167.58,167.08,167.63,167.03,6.37,0.37%
23-Oct-12,165.43,166.04,166.06,165.12,11.89,-1.28%
24-Oct-12,164.86,165.78,165.83,164.6,10.79,-0.34%
25-Oct-12,166.02,166.29,166.53,165.77,7.02,0.70%
26-Oct-12,165.93,166.23,166.6,165.77,6.44,-0.05%
31-Oct-12,166.83,166.47,167.28,166.38,4.68,0.54%
1-Nov-12,166.07,167.02,167.04,166.04,6.02,-0.46%
2-Nov-12,162.6,164.45,164.47,162.3,14.76,-2.09%
5-Nov-12,163.23,163.12,163.42,162.81,6.16,0.39%
6-Nov-12,166.3,163.91,166.77,163.61,16.05,1.88%
7-Nov-12,166.49,166.87,167.13,165.04,13.2,0.11%
8-Nov-12,167.99,166.14,168.16,166.12,8.83,0.90%
9-Nov-12,167.82,168.21,168.54,167.55,7.36,-0.10%
12-Nov-12,167.45,168.1,168.28,167.21,5.65,-0.22%
13-Nov-12,167.1,166.66,167.94,166.63,6.47,-0.21%
14-Nov-12,167.14,167.46,168.04,166.78,8.51,0.02%
15-Nov-12,166.09,167,167.06,165.18,10.02,-0.63%
16-Nov-12,165.88,165.74,166.36,165.47,6.94,-0.13%
19-Nov-12,167.87,167.75,168.16,167.38,6.77,1.20%
20-Nov-12,167.39,167.75,168.02,166.84,5.5,-0.29%
21-Nov-12,167.56,167.19,167.82,166.97,3.81,0.10%
23-Nov-12,169.61,167.97,170.01,167.8,6.11,1.22%
26-Nov-12,169.43,169.56,169.73,169.25,5.38,-0.11%
27-Nov-12,168.71,169.14,169.4,168.62,7.32,-0.42%
28-Nov-12,166.55,165.43,166.84,165.38,12.88,-1.28%
29-Nov-12,167.18,167.14,167.5,166.85,7.45,0.38%
30-Nov-12,166.05,166.94,167.22,165.53,8.41,-0.68%
3-Dec-12,166.13,166.11,166.92,166.04,6.36,0.05%
4-Dec-12,164.42,164.06,164.83,163.87,10.21,-1.03%
5-Dec-12,164.12,164.22,164.5,163.2,10.65,-0.18%
6-Dec-12,164.5,163.72,165,163.53,7.3,0.23%
7-Dec-12,165.16,164.88,165.22,164.6,7.29,0.40%
10-Dec-12,165.8,166.11,166.16,165.72,4.65,0.39%
11-Dec-12,165.65,165.45,165.66,165.12,4.73,-0.09%
12-Dec-12,165.77,166.2,166.94,165.36,14.17,0.07%
13-Dec-12,164.37,163.87,164.9,163.78,9.33,-0.84%
14-Dec-12,164.13,164.17,164.48,164.02,5.35,-0.15%
17-Dec-12,164.44,164.16,164.62,164.13,8.18,0.19%
18-Dec-12,162.08,164.35,164.43,160.9,24,-1.44%
19-Dec-12,161.69,161.31,162.22,161.11,13,-0.24%
20-Dec-12,159.73,159.87,160.12,158.39,25.15,-1.21%
21-Dec-12,160.33,159.82,160.76,159.78,13.45,0.38%
24-Dec-12,160.62,160.88,160.96,160.47,3.7,0.18%
26-Dec-12,160.78,161.36,161.49,160.64,4.97,0.10%
27-Dec-12,161.16,160.23,161.31,160.05,8.94,0.24%
28-Dec-12,160.54,160.94,160.97,160.15,6.85,-0.38%
31-Dec-12,162.02,160.9,162.75,160.77,11.79,0.92%
2-Jan-13,163.17,163.49,164.14,163.14,10.44,0.71%
3-Jan-13,161.2,162.48,162.88,160.83,16.12,-1.21%
4-Jan-13,160.44,159.52,160.63,158.89,19.18,-0.47%
7-Jan-13,159.43,159.36,159.96,159.15,9.36,-0.63%
8-Jan-13,160.56,160.46,160.99,160.01,7.7,0.71%
9-Jan-13,160.49,160.77,160.83,159.91,8.34,-0.04%
10-Jan-13,161.98,161.61,162.56,161.61,11.43,0.93%
11-Jan-13,161.06,161.86,161.9,160.11,13.68,-0.57%
14-Jan-13,161.54,161.88,161.97,161.13,7.29,0.30%
15-Jan-13,162.56,162.8,163.17,162.35,10.09,0.63%
16-Jan-13,162.65,162.42,163.03,162.15,9.22,0.06%
17-Jan-13,163.35,161.94,164.4,161.83,14.91,0.43%
18-Jan-13,163.09,163.95,163.97,163.02,10.04,-0.16%
22-Jan-13,163.67,163.48,164.22,163.37,8.59,0.36%
23-Jan-13,163.21,163.92,163.95,163,6.7,-0.28%
24-Jan-13,161.42,161.98,162.27,161.18,13.19,-1.10%
25-Jan-13,160.65,160.56,161.04,160.31,9.04,-0.48%
28-Jan-13,160.29,160.24,160.73,160.02,8.5,-0.22%
29-Jan-13,160.99,161.01,161.31,160.69,7.37,0.44%
30-Jan-13,162.19,162.68,163.04,162.03,12.02,0.75%
31-Jan-13,161.2,161.62,161.81,160.47,9.34,-0.61%
1-Feb-13,161.45,162.66,162.77,160.87,12.9,0.16%
4-Feb-13,162,161.19,162.42,161.15,7.36,0.34%
5-Feb-13,161.96,162.75,162.79,161.33,8.98,-0.02%
6-Feb-13,162.39,162.13,162.63,161.99,6.15,0.27%
7-Feb-13,161.84,161.24,162.96,161.13,12.83,-0.34%
8-Feb-13,161.57,161.46,162.02,161.2,6.09,-0.17%
11-Feb-13,159.7,159.78,159.98,159.25,12.15,-1.16%
12-Feb-13,159.89,159.35,160.05,158.88,7.63,0.12%
13-Feb-13,159.05,159.6,159.64,158.77,8.96,-0.53%
14-Feb-13,158.35,159.31,159.65,158.04,12.42,-0.44%
15-Feb-13,155.76,156.42,156.58,154.56,23.37,-1.64%
19-Feb-13,155.33,155.8,155.84,154.93,11.81,-0.28%
20-Feb-13,151.44,153.9,153.93,150.84,30.92,-2.50%
21-Feb-13,152.62,152,153.41,151.9,17.97,0.78%
22-Feb-13,152.97,152.26,152.99,151.93,10.09,0.23%
25-Feb-13,154.34,153.52,154.56,153.31,9.49,0.90%
26-Feb-13,156.22,154.39,156.8,153.32,18.18,1.22%
27-Feb-13,154.57,155.46,155.6,154.08,9.6,-1.06%
28-Feb-13,153,154.09,154.16,152.39,14.87,-1.02%
1-Mar-13,152.44,153.16,153.61,152.14,11.18,-0.37%
4-Mar-13,152.3,152.45,152.74,151.87,6.64,-0.09%
5-Mar-13,152.38,153.1,153.39,152.11,10.81,0.05%
6-Mar-13,153.23,152.17,153.38,151.65,10.86,0.56%
7-Mar-13,152.69,153.02,153.21,152.4,6.59,-0.35%
8-Mar-13,152.71,151.61,153.29,151.4,11.86,0.01%
11-Mar-13,152.99,152.82,153.06,152.65,4.81,0.18%
12-Mar-13,154.19,154.07,154.69,153.9,7.27,0.78%
13-Mar-13,153.66,154.26,154.6,153.42,7.44,-0.34%
14-Mar-13,153.68,153.02,154.17,153.01,11.42,0.01%
15-Mar-13,154,154.12,154.72,153.97,5.7,0.21%
18-Mar-13,155.38,155.7,155.93,155,9.3,0.90%
19-Mar-13,156.08,155.22,156.34,155.1,11.03,0.45%
20-Mar-13,155.37,155.53,155.83,154.88,8.22,-0.45%
21-Mar-13,156.25,156.17,156.43,155.88,4.99,0.57%
22-Mar-13,155.55,155.45,155.99,155.42,4.75,-0.45%
25-Mar-13,155.24,154.71,155.57,154.36,6.82,-0.20%
26-Mar-13,154.72,154.47,154.91,154.28,7.39,-0.33%
27-Mar-13,155.36,154.67,155.62,154.51,6.72,0.41%
28-Mar-13,154.47,154.5,154.8,154.22,6.85,-0.57%
1-Apr-13,154.67,154.57,154.93,154.3,4.29,0.13%
2-Apr-13,152.43,153.09,153.31,152.26,9.4,-1.45%
3-Apr-13,150.73,152.02,152.53,149.92,15.74,-1.12%
4-Apr-13,150.29,149.65,150.6,149.44,12.43,-0.29%
5-Apr-13,152.81,151.54,152.96,151.07,14.49,1.68%
8-Apr-13,152.16,152.39,152.59,151.6,6.25,-0.43%
9-Apr-13,153.34,152.32,153.85,152.28,7.05,0.78%
10-Apr-13,150.75,152.67,152.71,150.58,18.52,-1.69%
11-Apr-13,151.05,150.76,151.71,150.63,8.06,0.20%
12-Apr-13,143.95,148.65,148.85,143.43,55.6,-4.70%
15-Apr-13,131.31,136,136.75,130.51,93.8,-8.78%
16-Apr-13,132.8,134.9,135.11,131.76,45.65,1.13%
17-Apr-13,132.87,133.81,134.95,132.32,25.44,0.05%
18-Apr-13,134.3,134.12,135.31,133.62,20.04,1.08%
19-Apr-13,135.47,136,136.02,134.6,15.67,0.87%
22-Apr-13,137.9,138.15,138.27,137.22,16.57,1.79%
23-Apr-13,136.88,137.22,137.24,135.85,14.65,-0.74%
24-Apr-13,138.37,138.09,138.55,137.45,10.37,1.09%
25-Apr-13,141.63,140,142.08,139.78,18.9,2.36%
26-Apr-13,140.91,142.3,143.43,140.04,19.31,-0.51%
29-Apr-13,142.3,142.14,142.66,141.49,11.01,0.99%
30-Apr-13,142.77,142.27,142.83,141.55,11.29,0.33%
1-May-13,141.11,140.59,141.55,139.3,13.94,-1.16%
2-May-13,141.92,142,142.47,141.64,11.5,0.57%
3-May-13,142.09,141.7,142.71,141.4,11.67,0.12%
6-May-13,142.15,142.33,142.47,141.63,7.73,0.04%
7-May-13,140.38,140.38,140.64,139.37,13.63,-1.25%
8-May-13,142.46,141.78,142.81,141.49,11.16,1.48%
9-May-13,140.81,141.33,142.36,140.51,8.27,-1.16%
10-May-13,139.6,138.22,139.75,137.26,14.66,-0.86%
13-May-13,138.43,138.46,138.97,138.16,6.72,-0.84%
14-May-13,137.81,137.95,139.16,137.64,9.9,-0.45%
15-May-13,134.63,136.59,136.98,134.23,19.07,-2.31%
16-May-13,134.09,133.18,134.48,133,12.76,-0.40%
17-May-13,131.07,133.17,133.48,131.02,20.35,-2.25%
20-May-13,135.12,130.88,135.32,130.85,21.59,3.09%
21-May-13,132.88,132.17,133.65,131.45,14.54,-1.66%
22-May-13,131.94,134.18,136.77,130.95,25.98,-0.71%
23-May-13,134.61,134.51,134.84,133.12,10.27,2.02%
24-May-13,133.76,134.11,134.51,133.64,5.52,-0.63%
28-May-13,133.49,133.68,135.57,132.8,12.47,-0.20%
29-May-13,134.83,134.09,134.91,133.64,8.77,1.00%
30-May-13,136.7,136.67,137.11,136.26,8.61,1.39%
31-May-13,133.92,135.71,136.05,133.89,9.73,-2.03%
3-Jun-13,136.51,134.77,136.98,134.43,9.18,1.93%
4-Jun-13,135.23,135.21,135.44,134.27,5.51,-0.94%
5-Jun-13,135.52,135.47,136.37,135.01,7.44,0.21%
